category,line,selector,tokens,hits
"still-used","11225",".fb-badge--status","fb-badge--status","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11226",".migrate-badge","migrate-badge",""
"still-used","11231",".fb-badge--待处理","fb-badge--","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11232",".fb-badge--处理中","fb-badge--","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11233",".fb-badge--已解决","fb-badge--","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11234",".fb-badge--已关闭","fb-badge--","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11235",".fb-meta","fb-meta",""
"suspected-dead","11236",".feedback-list","feedback-list",""
"still-used","11238",".fb-card","fb-card","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11247",".fb-card:hover","fb-card","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11252",".fb-card--expanded","fb-card--expanded",""
"suspected-dead","11253",".fb-card-main","fb-card-main",""
"still-used","11263",".fb-card-head","fb-card-head","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11264",".fb-card-title-row","fb-card-title-row",""
"still-used","11269",".fb-card-title","fb-card-title","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11270",".fb-expand-hint","fb-expand-hint",""
"still-used","11276",".fb-card-desc","fb-card-desc","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11277",".fb-card-reply","fb-card-reply",""
"suspected-dead","11278",".fb-reply-label","fb-reply-label",""
"suspected-dead","11279",".fb-card-body","fb-card-body",""
"suspected-dead","11281",".fb-detail-block","fb-detail-block",""
"suspected-dead","11288",".fb-detail-block span","fb-detail-block",""
"suspected-dead","11295",".fb-detail-block small","fb-detail-block",""
"suspected-dead","11300",".fb-desc","fb-desc",""
"suspected-dead","11301",".fb-current-reply div","fb-current-reply",""
"suspected-dead","11302",".fb-reply-editor","fb-reply-editor",""
"suspected-dead","11303",".fb-reply-editor-title","fb-reply-editor-title",""
"suspected-dead","11304",".fb-reply-row","fb-reply-row",""
"suspected-dead","11305",".fb-reply-row select","fb-reply-row",""
"suspected-dead","11306",".fb-reply-row textarea","fb-reply-row",""
"still-used","11307",".fb-reply-editor .btn","fb-reply-editor btn","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"still-used","11308",".fb-empty","fb-empty","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11316",".fb-empty strong","fb-empty","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11317",".fb-empty p","fb-empty","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11318",".fb-add-overlay","fb-add-overlay",""
"suspected-dead","11324",".fb-add-modal","fb-add-modal",""
"suspected-dead","11327",".fb-add-head","fb-add-head",""
"suspected-dead","11334",".fb-add-head h3","fb-add-head",""
"suspected-dead","11335",".fb-add-form","fb-add-form",""
"suspected-dead","11340",".fb-add-form label","fb-add-form",""
"suspected-dead","11348",".fb-add-form input, .fb-add-form select, .fb-add-form textarea","fb-add-form",""
"suspected-dead","11360",".fb-add-form input, .fb-add-form select","fb-add-form",""
"suspected-dead","11362",".fb-add-form textarea","fb-add-form",""
"suspected-dead","11363",".fb-add-actions","fb-add-actions",""
"still-used","11371",".feedback-layout","feedback-layout","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11372",".feedback-hero","feedback-hero",""
"still-used","11373",".feedback-workbench, .feedback-workbench--three","feedback-workbench feedback-workbench--three","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.ts"
"still-used","11375",".feedback-side, .feedback-left, .feedback-detail","feedback-side feedback-left feedback-detail","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11378",".feedback-tile-grid","feedback-tile-grid","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11379",".feedback-stat-grid","feedback-stat-grid","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11380",".feedback-filters","feedback-filters","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11381",".fb-filter","fb-filter","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"suspected-dead","11382",".fb-reply-row","fb-reply-row",""
"suspected-dead","11383",".fb-reply-row select","fb-reply-row",""
"still-used","11387",".feedback-tile-grid","feedback-tile-grid","frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.html; frontend-angular/src/app/workbenches/support/feedback/feedback-workbench.component.scss"
"still-used","11389",".manual-article code","manual-article","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11396",".manual-article pre code","manual-article","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11402",".manual-article blockquote","manual-article","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11409",".manual-article a","manual-article","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11412",".manual-figure","manual-figure","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11419",".manual-figure img","manual-figure","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11426",".manual-figure figcaption","manual-figure","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"suspected-dead","11431",".manual-mermaid","manual-mermaid",""
"suspected-dead","11439",".manual-mermaid svg","manual-mermaid",""
"still-used","11443",".manual-loading, .manual-empty-hint","manual-loading manual-empty-hint","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11453",".manual-body","manual-body","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11456",".manual-nav","manual-nav","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11460",".manual-reader","manual-reader","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11463",".manual-reader-head","manual-reader-head","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11466",".manual-article","manual-article","frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.html; frontend-angular/src/app/workbenches/support/manual/manual-workbench.component.scss"
"still-used","11471",".tbar-dd","tbar-dd","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.ts"
"still-used","11477",".tbar-dd-btn","tbar-dd-btn","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11480",".tbar-dd-menu","tbar-dd-menu","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11493",".tbar-dd-menu.hidden","tbar-dd-menu hidden","frontend-angular/src/app/core/shell/history/history-dialog.component.scss; frontend-angular/src/app/core/shell/notification/shell-notification.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","11494",".tbar-dd-item","tbar-dd-item","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11506",".tbar-dd-item:hover","tbar-dd-item","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11507",".tbar-dd-primary","tbar-dd-primary","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11508",".tbar-dd-danger","tbar-dd-danger","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","11509",".tbar-dd-sep","tbar-dd-sep","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"suspected-dead","11514",".ai-modal","ai-modal",""
"suspected-dead","11523",".ai-header","ai-header",""
"suspected-dead","11530",".ai-header h3","ai-header",""
"suspected-dead","11531",".ai-header-actions","ai-header-actions",""
"suspected-dead","11537",".ai-workspace-label","ai-workspace-label",""
"suspected-dead","11544",".ai-messages","ai-messages",""
"suspected-dead","11554",".ai-welcome","ai-welcome",""
"suspected-dead","11561",".ai-msg","ai-msg",""
"suspected-dead","11569",".ai-msg-user","ai-msg-user",""
"suspected-dead","11574",".ai-msg-ai","ai-msg-ai",""
"suspected-dead","11579",".ai-msg-system","ai-msg-system",""
"suspected-dead","11585",".ai-input-row","ai-input-row",""
"suspected-dead","11591",".ai-input","ai-input",""
"suspected-dead","11599",".ai-input:focus","ai-input",""
"suspected-dead","11600",".ai-drawer","ai-drawer",""
"still-used","11603",".ai-drawer.hidden","ai-drawer hidden","frontend-angular/src/app/core/shell/history/history-dialog.component.scss; frontend-angular/src/app/core/shell/notification/shell-notification.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"suspected-dead","11604",".ai-drawer-handle","ai-drawer-handle",""
"suspected-dead","11605",".ai-drawer-handle:hover","ai-drawer-handle",""
"suspected-dead","11606",".ai-drawer-handle::after","ai-drawer-handle",""
"suspected-dead","11607",".ai-drawer-header","ai-drawer-header",""
"suspected-dead","11609",".ai-drawer-title","ai-drawer-title",""
"suspected-dead","11610",".ai-session-select","ai-session-select",""
"suspected-dead","11611",".ai-drawer-ws","ai-drawer-ws",""
"suspected-dead","11612",".ai-drawer-close","ai-drawer-close",""
"suspected-dead","11613",".ai-body","ai-body",""
"suspected-dead","11615",".ai-msg","ai-msg",""
"suspected-dead","11617",".ai-msg-user","ai-msg-user",""
"suspected-dead","11618",".ai-msg-assistant","ai-msg-assistant",""
"suspected-dead","11619",".ai-msg-assistant p","ai-msg-assistant",""
"suspected-dead","11620",".ai-msg-assistant ul,.ai-msg-assistant ol","ai-msg-assistant",""
"suspected-dead","11620",".ai-msg-assistant code","ai-msg-assistant",""
"suspected-dead","11621",".ai-msg-assistant pre","ai-msg-assistant",""
"suspected-dead","11622",".ai-msg-system","ai-msg-system",""
"suspected-dead","11623",".ai-welcome","ai-welcome",""
"suspected-dead","11625",".ai-honesty-note","ai-honesty-note",""
"suspected-dead","11626",".ai-input-row","ai-input-row",""
"suspected-dead","11628",".ai-input","ai-input",""
"suspected-dead","11629",".ai-input:focus","ai-input",""
"suspected-dead","11630",".ai-send-btn,.ai-stop-btn","ai-send-btn ai-stop-btn",""
"suspected-dead","11631",".ai-send-btn","ai-send-btn",""
"suspected-dead","11632",".ai-send-btn:hover","ai-send-btn",""
"suspected-dead","11632",".ai-stop-btn","ai-stop-btn",""
"suspected-dead","11633",".ai-tool","ai-tool",""
"suspected-dead","11635",".ai-tool-head","ai-tool-head",""
"suspected-dead","11636",".ai-tool-head:hover","ai-tool-head",""
"suspected-dead","11637",".ai-tool-status","ai-tool-status",""
"still-used","11638",".ai-tool-status.running","ai-tool-status running","frontend-angular/src/app/core/shell/wait-dialog/wait-dialog.component.ts"
"still-used","11639",".ai-tool-status.done","ai-tool-status done","frontend-angular/src/app/workbenches/process/editor/process-editor-workbench.component.html; frontend-angular/src/app/workbenches/process/editor/process-editor-workbench.component.ts"
"still-used","11640",".ai-tool-status.failed","ai-tool-status failed","frontend-angular/src/app/core/api/api.service.ts"
"suspected-dead","11640",".ai-tool-name","ai-tool-name",""
"suspected-dead","11641",".ai-tool-arrow","ai-tool-arrow",""
"suspected-dead","11642",".ai-tool-body","ai-tool-body",""
"suspected-dead","11643",".ai-tool-args pre","ai-tool-args",""
"suspected-dead","11644",".ai-tool-output","ai-tool-output",""
"suspected-dead","11645",".ai-approval-overlay","ai-approval-overlay",""
"suspected-dead","11647",".ai-approval-card","ai-approval-card",""
"suspected-dead","11648",".ai-approval-card h4","ai-approval-card",""
"suspected-dead","11649",".ai-approval-card p","ai-approval-card",""
"suspected-dead","11650",".ai-approval-btns","ai-approval-btns",""
"suspected-dead","11651",".ai-approval-allow,.ai-approval-deny","ai-approval-allow ai-approval-deny",""
"suspected-dead","11652",".ai-approval-allow","ai-approval-allow",""
"suspected-dead","11653",".ai-approval-deny","ai-approval-deny",""
"suspected-dead","11654",".ai-status","ai-status",""
"still-used","11655",".hidden","hidden","frontend-angular/src/app/core/shell/history/history-dialog.component.scss; frontend-angular/src/app/core/shell/notification/shell-notification.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
