category,line,selector,tokens,hits
"still-used","1","#toolbar","toolbar","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","11",".toolbar-left","toolbar-left","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","12",".toolbar-right","toolbar-right","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","13",".brand-mark","brand-mark","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","22",".logo","logo","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","24",".product-version","product-version","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","32",".file-name","file-name","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","34",".modified-badge","modified-badge","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","48",".modified-badge-row","modified-badge-row","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","58",".modified-badge-row.local","modified-badge-row local","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"still-used","63",".modified-badge-row.remote","modified-badge-row remote","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html"
"still-used","68",".modified-badge-dot","modified-badge-dot","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","75",".modified-badge.syncing","modified-badge syncing","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"still-used","78",".collab-status","collab-status","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","92",".collab-status:hover","collab-status","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","95",".collab-status[data-users]::after","collab-status","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","118",".collab-status[data-users]:hover::after","collab-status","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","122",".collab-status.connected","collab-status connected","frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts"
"still-used","127",".collab-status.offline","collab-status offline","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"suspected-dead","132",".user-account-button","user-account-button",""
"suspected-dead","147",".user-account-button:hover","user-account-button",""
"still-used","152",".user-account-button.empty","user-account-button empty","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"legacy-compat-selector","157",".user-modal-shell","user-modal-shell",""
"still-used","160",".modal.collab-diagnostics-modal","modal collab-diagnostics-modal","frontend-angular/src/app/core/shell/wait-dialog/wait-dialog.component.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"legacy-compat-selector","167",".collab-diagnostics-content","collab-diagnostics-content",""
"legacy-compat-selector","173",".collab-diagnostic-grid","collab-diagnostic-grid",""
"legacy-compat-selector","178",".collab-diagnostic-grid > div","collab-diagnostic-grid",""
"legacy-compat-selector","185",".collab-diagnostic-grid span","collab-diagnostic-grid",""
"legacy-compat-selector","192",".collab-diagnostic-grid strong","collab-diagnostic-grid",""
"legacy-compat-selector","200",".collab-diagnostic-grid > div:first-child","collab-diagnostic-grid",""
"legacy-compat-selector","203",".collab-diagnostic-error","collab-diagnostic-error",""
"legacy-compat-selector","210",".collab-diagnostic-error span","collab-diagnostic-error",""
"legacy-compat-selector","216",".collab-diagnostic-error strong","collab-diagnostic-error",""
"legacy-compat-selector","222",".collab-diagnostic-section h4","collab-diagnostic-section",""
"legacy-compat-selector","227",".collab-diagnostic-users","collab-diagnostic-users",""
"legacy-compat-selector","232",".collab-diagnostic-user","collab-diagnostic-user",""
"legacy-compat-selector","244",".collab-diagnostic-user strong","collab-diagnostic-user",""
"legacy-compat-selector","250",".collab-diagnostic-user span","collab-diagnostic-user",""
"legacy-compat-selector","253",".collab-diagnostic-raw","collab-diagnostic-raw",""
"legacy-compat-selector","258",".collab-diagnostic-raw summary","collab-diagnostic-raw",""
"legacy-compat-selector","265",".collab-diagnostic-raw pre","collab-diagnostic-raw",""
"legacy-compat-selector","276",".collab-diagnostic-grid","collab-diagnostic-grid",""
"legacy-compat-selector","279",".collab-diagnostic-grid > div:first-child","collab-diagnostic-grid",""
"suspected-dead","283",".user-form-field","user-form-field",""
"suspected-dead","288",".user-form-field span","user-form-field",""
"suspected-dead","293",".user-form-field input","user-form-field",""
"suspected-dead","299",".user-session-note","user-session-note",""
"still-used","305",".document-version-badge","document-version-badge","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","318",".document-version-badge.current","document-version-badge current","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"still-used","323",".document-version-badge.readonly","document-version-badge readonly","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"still-used","328",".document-version-badge.recovery","document-version-badge recovery","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/api/api.service.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts"
"legacy-compat-selector","333",".collab-conflict-actions","collab-conflict-actions",""
"still-used","345",".modal.collab-conflict-dialog","modal collab-conflict-dialog","frontend-angular/src/app/core/shell/wait-dialog/wait-dialog.component.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"legacy-compat-selector","356",".collab-conflict-actions","collab-conflict-actions",""
"still-used","358",".modal.collab-conflict-dialog h3, .modal.collab-conflict-dialog .field-hint","modal collab-conflict-dialog field-hint","frontend-angular/src/app/core/shell/wait-dialog/wait-dialog.component.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","360",".modal.collab-conflict-dialog .collab-conflict-actions","modal collab-conflict-dialog collab-conflict-actions","frontend-angular/src/app/core/shell/wait-dialog/wait-dialog.component.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","361",".modal.collab-conflict-dialog h3","modal collab-conflict-dialog","frontend-angular/src/app/core/shell/wait-dialog/wait-dialog.component.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"legacy-compat-selector","366",".collab-conflict-list","collab-conflict-list",""
"legacy-compat-selector","373",".collab-conflict-item","collab-conflict-item",""
"legacy-compat-selector","380",".collab-conflict-field","collab-conflict-field",""
"legacy-compat-selector","387",".collab-conflict-cols","collab-conflict-cols",""
"legacy-compat-selector","392",".collab-conflict-col pre","collab-conflict-col",""
"legacy-compat-selector","404",".collab-conflict-label","collab-conflict-label",""
"legacy-compat-selector","409",".collab-conflict-choose","collab-conflict-choose",""
"still-used","414",".collab-conflict-choose.is-selected","collab-conflict-choose is-selected","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"suspected-dead","417",".readonly-alert","readonly-alert",""
"suspected-dead","429",".readonly-alert strong","readonly-alert",""
"still-used","433",".app-toast","app-toast","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/notification/shell-notification.component.html"
"suspected-dead","450",".locator-menu","locator-menu",""
"suspected-dead","460",".locator-menu button","locator-menu",""
"suspected-dead","472",".locator-menu button:hover","locator-menu",""
"still-used","476",".hidden","hidden","frontend-angular/src/app/core/shell/history/history-dialog.component.scss; frontend-angular/src/app/core/shell/notification/shell-notification.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","477","#layout","layout","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.ts; frontend-angular/src/app/workbenches/component/component-workbench.ts"
"still-used","480","#sidebar","sidebar","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","488","#sidebar.sb-resizing","sidebar sb-resizing","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","489","#sidebar.sb-collapsed","sidebar sb-collapsed","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","490","#sidebar-content","sidebar-content","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.ts"
"still-used","491","#sidebar-resize-handle","sidebar-resize-handle","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","501","#sidebar.sb-collapsed #sidebar-resize-handle","sidebar sb-collapsed sidebar-resize-handle","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","502","#sb-toggle-wrap","sb-toggle-wrap","frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","507","#sb-toggle-btn","sb-toggle-btn","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.ts"
"still-used","521","#sb-toggle-btn:hover","sb-toggle-btn","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.ts"
"still-used","522",".no-doc-shell #sidebar, .no-doc-shell #sb-toggle-wrap","no-doc-shell sidebar sb-toggle-wrap","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/runtime/angular-runtime.ts; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","526",".no-doc-shell #tab-bar","no-doc-shell tab-bar","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"still-used","529",".sb-section","sb-section","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","530",".sb-header","sb-header","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","536",".sb-header:hover","sb-header","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","537",".sb-header-main","sb-header-main","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","541",".sb-header-title","sb-header-title","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","545",".sb-metrics","sb-metrics","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","548",".sb-domain-filter-panel","sb-domain-filter-panel","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","553",".sb-domain-filter-row","sb-domain-filter-row","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","562",".sb-domain-filter","sb-domain-filter","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","573",".sb-directory-stack","sb-directory-stack","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","578",".sb-directory-block","sb-directory-block","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","581",".sb-directory-title","sb-directory-title","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","595",".sb-directory-component .sb-directory-title","sb-directory-component sb-directory-title","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","600",".sb-metric","sb-metric","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"legacy-compat-selector","609",".sb-metric-flow","sb-metric-flow",""
"legacy-compat-selector","613",".sb-metric-interaction","sb-metric-interaction",""
"legacy-compat-selector","617",".sb-metric-model","sb-metric-model",""
"legacy-compat-selector","621",".sb-metric-flow .sb-metric-label","sb-metric-flow sb-metric-label",""
"legacy-compat-selector","622",".sb-metric-interaction .sb-metric-label","sb-metric-interaction sb-metric-label",""
"legacy-compat-selector","623",".sb-metric-model .sb-metric-label","sb-metric-model sb-metric-label",""
"legacy-compat-selector","624",".sb-metric-label","sb-metric-label",""
"legacy-compat-selector","625",".sb-metric-value","sb-metric-value",""
"still-used","626",".sb-header .sb-add-btn","sb-header sb-add-btn","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","627",".sb-toggle","sb-toggle","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.ts"
"still-used","628",".sb-count","sb-count","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","637",".sb-header .sb-count","sb-header sb-count","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"legacy-compat-selector","641",".sb-item","sb-item",""
"legacy-compat-selector","649",".sb-item:hover","sb-item",""
"still-used","650",".sb-item.active","sb-item active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"legacy-compat-selector","652",".sb-id","sb-id",""
"suspected-dead","653",".editable-id","editable-id",""
"suspected-dead","658",".editable-id:hover","editable-id",""
"suspected-dead","659",".id-edit-input","id-edit-input",""
"still-used","666",".sb-name","sb-name","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.scss"
"still-used","667",".sb-empty","sb-empty","frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html"
"still-used","668","#content","content","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/api/api.service.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"still-used","671","#tab-bar","tab-bar","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"still-used","679",".tab-btn-group","tab-btn-group","frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.html; frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.scss"
"still-used","683",".tab-btn","tab-btn","frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.html; frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.scss"
"still-used","688",".tab-btn:hover","tab-btn","frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.html; frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.scss"
"still-used","689",".tab-btn.active","tab-btn active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"still-used","690",".tab-back-btn","tab-back-btn","frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.html"
"still-used","701",".tab-back-btn:hover:not([disabled])","tab-back-btn","frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.html"
"still-used","706",".tab-back-btn[disabled]","tab-back-btn","frontend-angular/src/app/core/shell/tab-bar/shell-tab-bar.component.html"
"still-used","711","#tab-content","tab-content","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","714",".empty-state","empty-state","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","721",".empty-state h2","empty-state","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","722",".empty-state p","empty-state","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"suspected-dead","723",".live-diagram-wrap","live-diagram-wrap",""
"legacy-compat-selector","732",".live-diagram-toolbar","live-diagram-toolbar",""
"still-used","737",".live-diagram-hint","live-diagram-hint","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html"
"still-used","738",".live-diagram-hint strong","live-diagram-hint","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html"
"still-used","742",".live-diagram","live-diagram","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/process/flow/process-flow-legacy-adapter.ts"
"still-used","748",".live-diagram svg","live-diagram","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/process/flow/process-flow-legacy-adapter.ts"
"legacy-compat-selector","749",".data-toolbar","data-toolbar",""
"still-used","752",".data-view-switch","data-view-switch","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html"
"still-used","760",".seg-btn","seg-btn","frontend-angular/src/app/workbenches/component/business-model/business-model-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html"
"still-used","770",".seg-btn.active","seg-btn active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"suspected-dead","774",".data-state-select-inline","data-state-select-inline",""
"suspected-dead","783",".data-state-select-label","data-state-select-label",""
"suspected-dead","787",".data-state-select-inline select","data-state-select-inline",""
"legacy-compat-selector","790",".data-toolbar.state-mode [data-testid=""data-add-entity""], .data-toolbar.state-mode .data-state-select-inline","data-toolbar state-mode data-state-select-inline",""
"legacy-compat-selector","794",".data-state-toolbar-actions, .data-relation-toolbar-actions","data-state-toolbar-actions data-relation-toolbar-actions",""
"suspected-dead","801",".data-state-zoom-controls","data-state-zoom-controls",""
"suspected-dead","806",".data-state-zoom-reset","data-state-zoom-reset",""
"suspected-dead","809",".entity-state-workbench","entity-state-workbench",""
"suspected-dead","818",".entity-state-browser, .entity-state-card","entity-state-browser entity-state-card",""
"suspected-dead","824",".entity-state-browser","entity-state-browser",""
"suspected-dead","828",".entity-state-group + .entity-state-group","entity-state-group",""
"suspected-dead","831",".entity-state-group-title","entity-state-group-title",""
"suspected-dead","837",".entity-state-group-list","entity-state-group-list",""
"suspected-dead","842",".entity-state-chip","entity-state-chip",""
"still-used","851",".entity-state-chip.active","entity-state-chip active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"suspected-dead","857",".entity-state-stage","entity-state-stage",""
"suspected-dead","865",".entity-state-main-shell","entity-state-main-shell",""
"suspected-dead","872",".entity-state-main","entity-state-main",""
"suspected-dead","876",".entity-state-card","entity-state-card",""
"suspected-dead","880",".entity-state-editor","entity-state-editor",""
"suspected-dead","887",".state-editor-drawer","state-editor-drawer",""
"suspected-dead","900",".state-editor-drawer .entity-state-editor","state-editor-drawer entity-state-editor",""
"still-used","906",".state-editor-drawer .drawer-body","state-editor-drawer drawer-body","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss; frontend-angular/src/app/workbenches/process/editor/process-editor-workbench.component.scss"
"suspected-dead","909",".entity-state-editor-head","entity-state-editor-head",""
"suspected-dead","919",".entity-state-editor-head h4","entity-state-editor-head",""
"suspected-dead","922",".entity-state-editor-hint","entity-state-editor-hint",""
"suspected-dead","927",".entity-state-config-row","entity-state-config-row",""
"suspected-dead","933",".entity-state-values-readonly","entity-state-values-readonly",""
"suspected-dead","943",".entity-state-card-head","entity-state-card-head",""
"suspected-dead","950",".entity-state-card-summary","entity-state-card-summary",""
"suspected-dead","956",".entity-state-field-chip","entity-state-field-chip",""
"still-used","966",".entity-state-field-chip.active","entity-state-field-chip active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"suspected-dead","971",".entity-state-card-title","entity-state-card-title",""
"suspected-dead","976",".entity-state-card-subtitle","entity-state-card-subtitle",""
"suspected-dead","981",".entity-state-card-meta","entity-state-card-meta",""
"suspected-dead","989",".entity-state-card-values","entity-state-card-values",""
"suspected-dead","995",".entity-state-value-chip","entity-state-value-chip",""
"still-used","1006",".entity-state-value-chip.kind-initial","entity-state-value-chip kind-initial","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1011",".entity-state-value-chip.kind-terminal","entity-state-value-chip kind-terminal","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"suspected-dead","1016",".entity-state-overview-grid","entity-state-overview-grid",""
"suspected-dead","1021",".entity-state-field-panel","entity-state-field-panel",""
"suspected-dead","1029",".entity-state-field-panel:hover","entity-state-field-panel",""
"still-used","1033",".entity-state-field-panel.active","entity-state-field-panel active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"suspected-dead","1038",".entity-state-field-panel-head","entity-state-field-panel-head",""
"suspected-dead","1045",".entity-state-field-panel-title","entity-state-field-panel-title",""
"suspected-dead","1050",".entity-state-field-panel-meta","entity-state-field-panel-meta",""
"suspected-dead","1056",".entity-state-field-panel-badges","entity-state-field-panel-badges",""
"suspected-dead","1063",".entity-state-field-badge","entity-state-field-badge",""
"suspected-dead","1074",".entity-state-field-badge.role-primary","entity-state-field-badge role-primary",""
"suspected-dead","1079",".entity-state-field-badge.role-secondary","entity-state-field-badge role-secondary",""
"still-used","1084",".entity-state-field-badge.active","entity-state-field-badge active","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html; frontend-angular/src/app/core/shell/history/history-dialog.component.scss"
"suspected-dead","1089",".entity-state-field-empty","entity-state-field-empty",""
"suspected-dead","1092",".entity-state-graph","entity-state-graph",""
"suspected-dead","1097",".entity-state-zoom-shell","entity-state-zoom-shell",""
"suspected-dead","1100",".entity-state-zoom-target","entity-state-zoom-target",""
"still-used","1103",".entity-state-canvas","entity-state-canvas","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1107",".entity-state-svg","entity-state-svg","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1114",".entity-state-board","entity-state-board","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1118",".entity-state-node","entity-state-node","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1135",".entity-state-node.dragging, .entity-state-marker.dragging","entity-state-node dragging entity-state-marker","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1141",".entity-state-node-label","entity-state-node-label","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"still-used","1148",".entity-state-link-label","entity-state-link-label","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
"suspected-dead","1157",".entity-state-link-label-group","entity-state-link-label-group",""
"suspected-dead","1161",".entity-state-link-label-group.dragging","entity-state-link-label-group dragging",""
"suspected-dead","1164",".entity-state-link-label-hitbox","entity-state-link-label-hitbox",""
"suspected-dead","1171",".entity-state-link-label-hitbox.dragging","entity-state-link-label-hitbox dragging",""
"still-used","1174",".entity-state-link.selected","entity-state-link selected","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/shell/sidebar/sidebar-directory.component.html; frontend-angular/src/app/core/shell/sidebar/sidebar-legacy-adapter.ts"
"suspected-dead","1179",".entity-state-link-route-hitbox","entity-state-link-route-hitbox",""
"suspected-dead","1186",".entity-state-link-route-hitbox:hover","entity-state-link-route-hitbox",""
"suspected-dead","1189",".entity-state-link-route-hitbox.dragging","entity-state-link-route-hitbox dragging",""
"suspected-dead","1193",".entity-state-link-endpoint-handle","entity-state-link-endpoint-handle",""
"suspected-dead","1205",".entity-state-link-endpoint-handle:hover, .entity-state-link-endpoint-handle.dragging","entity-state-link-endpoint-handle dragging",""
"suspected-dead","1210",".entity-state-link-endpoint-handle.dragging","entity-state-link-endpoint-handle dragging",""
"still-used","1213",".entity-state-graph.readonly .entity-state-link-label-group, .entity-state-graph.readonly .entity-state-link-label-hitbox, .entity-state-graph.readonly .entity-state-link-route-hitbox, .entity-state-graph.readonly .entity-state-link-endpoint-handle, .entity-state-graph.readonly .entity-state-node, .entity-state-graph.readonly .entity-state-marker","entity-state-graph readonly entity-state-link-label-group entity-state-link-label-hitbox entity-state-link-route-hitbox entity-state-link-endpoint-handle entity-state-node entity-state-marker","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"still-used","1221",".entity-state-graph.readonly .entity-state-link-label-hitbox, .entity-state-graph.readonly .entity-state-link-route-hitbox, .entity-state-graph.readonly .entity-state-link-endpoint-handle","entity-state-graph readonly entity-state-link-label-hitbox entity-state-link-route-hitbox entity-state-link-endpoint-handle","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"suspected-dead","1226",".entity-state-link-label-box","entity-state-link-label-box",""
"legacy-compat-selector","1231",".entity-state-link-label-legacy","entity-state-link-label-legacy",""
"still-used","1234",".entity-state-node.kind-initial","entity-state-node kind-initial","frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.html; frontend-angular/src/app/workbenches/component/entity-design/entity-design-workbench.component.scss"
